,receivetimeAEST,counts
0,2021-07-22 10:00:00,27
1,2021-07-22 19:00:00,29
2,2021-07-22 20:00:00,27
3,2021-07-22 21:00:00,33
4,2021-07-22 22:00:00,27
5,2021-07-22 23:00:00,26
6,2021-07-23 00:00:00,18
7,2021-07-23 01:00:00,12
8,2021-07-23 02:00:00,1
9,2021-07-23 05:00:00,2
10,2021-07-23 08:00:00,5
11,2021-07-23 09:00:00,32
12,2021-07-23 10:00:00,4
13,2021-07-23 11:00:00,50
14,2021-07-23 12:00:00,49
15,2021-07-23 13:00:00,37
16,2021-07-23 14:00:00,45
17,2021-07-23 15:00:00,55
18,2021-07-23 16:00:00,57
19,2021-07-23 17:00:00,41
20,2021-07-23 18:00:00,58
21,2021-07-23 19:00:00,36
22,2021-07-23 20:00:00,50
23,2021-07-23 21:00:00,56
24,2021-07-23 22:00:00,53
25,2021-07-23 23:00:00,24
26,2021-07-24 00:00:00,22
27,2021-07-24 01:00:00,10
28,2021-07-24 02:00:00,9
29,2021-07-24 03:00:00,8
30,2021-07-24 04:00:00,9
31,2021-07-24 05:00:00,5
32,2021-07-24 06:00:00,6
33,2021-07-24 07:00:00,7
34,2021-07-24 08:00:00,28
35,2021-07-24 09:00:00,8
36,2021-07-24 10:00:00,16
37,2021-07-24 11:00:00,15
38,2021-07-24 12:00:00,22
39,2021-07-24 13:00:00,18
40,2021-07-24 14:00:00,39
41,2021-07-24 15:00:00,32
42,2021-07-24 16:00:00,29
43,2021-07-24 17:00:00,26
44,2021-07-24 18:00:00,19
45,2021-07-24 19:00:00,22
46,2021-07-24 20:00:00,9
47,2021-07-24 21:00:00,3
48,2021-07-24 22:00:00,4
49,2021-07-24 23:00:00,4
50,2021-07-25 00:00:00,3
51,2021-07-25 01:00:00,5
52,2021-07-25 02:00:00,1
53,2021-07-25 03:00:00,4
54,2021-07-25 04:00:00,2
55,2021-07-25 05:00:00,4
56,2021-07-25 06:00:00,2
57,2021-07-25 07:00:00,3
58,2021-07-25 08:00:00,11
59,2021-07-25 09:00:00,8
60,2021-07-25 10:00:00,30
61,2021-07-25 11:00:00,15
62,2021-07-25 12:00:00,17
